Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
251,5,2015-07-31,22205,2508,1,1,0,1
262,5,2015-07-31,25774,3669,1,1,0,1
562,5,2015-07-31,20303,3255,1,1,0,1
817,5,2015-07-31,23093,2884,1,1,0,1
1114,5,2015-07-31,27508,3745,1,1,0,1
251,4,2015-07-30,20061,2377,1,1,0,1
262,4,2015-07-30,22253,3132,1,1,0,1
562,4,2015-07-30,18577,2984,1,1,0,1
817,4,2015-07-30,22177,2941,1,1,0,1
1114,4,2015-07-30,24395,3251,1,1,0,1
251,3,2015-07-29,19230,2270,1,1,0,1
262,3,2015-07-29,21041,3123,1,1,0,1
562,3,2015-07-29,17137,2878,1,1,0,1
817,3,2015-07-29,21556,2872,1,1,0,1
1114,3,2015-07-29,25840,3545,1,1,0,1
251,2,2015-07-28,20994,2447,1,1,0,1
262,2,2015-07-28,22442,3143,1,1,0,1
562,2,2015-07-28,18491,2956,1,1,0,1
817,2,2015-07-28,23248,2998,1,1,0,1
1114,2,2015-07-28,25518,3456,1,1,0,1
251,1,2015-07-27,20411,2367,1,1,0,1
262,1,2015-07-27,22185,3150,1,1,0,1
562,1,2015-07-27,19680,3142,1,1,0,1
817,1,2015-07-27,23932,3113,1,1,0,1
1114,1,2015-07-27,26720,3468,1,1,0,1
251,7,2015-07-26,0,0,0,0,0,0
262,7,2015-07-26,32547,4783,1,0,0,0
562,7,2015-07-26,20310,3397,1,0,0,1
817,7,2015-07-26,0,0,0,0,0,0
1114,7,2015-07-26,0,0,0,0,0,0
251,6,2015-07-25,13439,1700,1,0,0,0
262,6,2015-07-25,17118,2985,1,0,0,0
562,6,2015-07-25,12281,2591,1,0,0,1
817,6,2015-07-25,13558,2032,1,0,0,0
1114,6,2015-07-25,21312,3242,1,0,0,0
251,5,2015-07-24,14885,2010,1,0,0,1
262,5,2015-07-24,18985,3273,1,0,0,1
562,5,2015-07-24,16227,3022,1,0,0,1
817,5,2015-07-24,17420,2735,1,0,0,1
1114,5,2015-07-24,19627,3286,1,0,0,1
251,4,2015-07-23,16812,2168,1,0,0,1
262,4,2015-07-23,17513,2895,1,0,0,1
562,4,2015-07-23,16388,2956,1,0,0,1
817,4,2015-07-23,19532,2913,1,0,0,1
1114,4,2015-07-23,20564,3231,1,0,0,1
251,3,2015-07-22,14912,2140,1,0,0,1
262,3,2015-07-22,17663,2853,1,0,0,1
562,3,2015-07-22,14832,2825,1,0,0,0
817,3,2015-07-22,18046,2969,1,0,0,1
1114,3,2015-07-22,20424,3284,1,0,0,1
251,2,2015-07-21,15992,2206,1,0,0,1
262,2,2015-07-21,17836,3024,1,0,0,1
562,2,2015-07-21,15293,3016,1,0,0,0
817,2,2015-07-21,19339,3030,1,0,0,1
1114,2,2015-07-21,21269,3461,1,0,0,1
251,1,2015-07-20,18212,2351,1,0,0,1
262,1,2015-07-20,19169,3062,1,0,0,1
562,1,2015-07-20,17268,3068,1,0,0,0
817,1,2015-07-20,22258,3201,1,0,0,1
1114,1,2015-07-20,23731,3566,1,0,0,1
251,7,2015-07-19,0,0,0,0,0,0
262,7,2015-07-19,31665,4691,1,0,0,0
562,7,2015-07-19,21992,3325,1,0,0,0
817,7,2015-07-19,0,0,0,0,0,0
1114,7,2015-07-19,0,0,0,0,0,0
251,6,2015-07-18,16530,2291,1,0,0,0
262,6,2015-07-18,19042,3188,1,0,0,0
562,6,2015-07-18,12865,2502,1,0,0,0
817,6,2015-07-18,13536,2079,1,0,0,0
1114,6,2015-07-18,22836,3437,1,0,0,0
251,5,2015-07-17,15931,2076,1,1,0,1
262,5,2015-07-17,22986,3671,1,1,0,1
562,5,2015-07-17,17687,3370,1,1,0,0
817,5,2015-07-17,21685,3182,1,1,0,1
1114,5,2015-07-17,23473,3592,1,1,0,1
251,4,2015-07-16,19588,2412,1,1,0,1
262,4,2015-07-16,21595,3322,1,1,0,1
562,4,2015-07-16,17697,3075,1,1,0,0
817,4,2015-07-16,23899,3324,1,1,0,1
1114,4,2015-07-16,24366,3448,1,1,0,1
251,3,2015-07-15,20846,2496,1,1,0,1
262,3,2015-07-15,20977,3150,1,1,0,0
562,3,2015-07-15,18810,3135,1,1,0,0
817,3,2015-07-15,24210,3301,1,1,0,0
1114,3,2015-07-15,25750,3584,1,1,0,0
251,2,2015-07-14,21273,2487,1,1,0,1
262,2,2015-07-14,21455,3299,1,1,0,0
562,2,2015-07-14,19677,3214,1,1,0,0
817,2,2015-07-14,25460,3466,1,1,0,0
1114,2,2015-07-14,24568,3520,1,1,0,0
251,1,2015-07-13,23115,2550,1,1,0,1
262,1,2015-07-13,22257,3279,1,1,0,0
562,1,2015-07-13,19638,3245,1,1,0,0
817,1,2015-07-13,27178,3437,1,1,0,0
1114,1,2015-07-13,28156,3592,1,1,0,0
251,7,2015-07-12,0,0,0,0,0,0
262,7,2015-07-12,32271,4623,1,0,0,0
562,7,2015-07-12,20263,3202,1,0,0,0
817,7,2015-07-12,0,0,0,0,0,0
1114,7,2015-07-12,0,0,0,0,0,0
251,6,2015-07-11,15774,2113,1,0,0,0
262,6,2015-07-11,17885,3371,1,0,0,0
562,6,2015-07-11,12331,2437,1,0,0,0
817,6,2015-07-11,13111,1995,1,0,0,0
1114,6,2015-07-11,22092,3527,1,0,0,0
251,5,2015-07-10,16368,2122,1,0,0,1
262,5,2015-07-10,20519,3374,1,0,0,0
562,5,2015-07-10,17110,3120,1,0,0,0
817,5,2015-07-10,20231,2905,1,0,0,0
1114,5,2015-07-10,21560,3284,1,0,0,0
251,4,2015-07-09,17654,2268,1,0,0,1
262,4,2015-07-09,18631,3114,1,0,0,0
562,4,2015-07-09,16703,3047,1,0,0,0
817,4,2015-07-09,21279,3066,1,0,0,0
1114,4,2015-07-09,20355,3057,1,0,0,0
251,3,2015-07-08,16487,2169,1,0,0,1
262,3,2015-07-08,19142,3145,1,0,0,0
562,3,2015-07-08,16691,3016,1,0,0,0
817,3,2015-07-08,21079,3128,1,0,0,0
1114,3,2015-07-08,20806,3192,1,0,0,0
251,2,2015-07-07,15929,2185,1,0,0,1
262,2,2015-07-07,17208,3080,1,0,0,0
562,2,2015-07-07,16004,2955,1,0,0,0
817,2,2015-07-07,20064,3315,1,0,0,0
1114,2,2015-07-07,18466,3247,1,0,0,0
251,1,2015-07-06,19336,2422,1,0,0,1
262,1,2015-07-06,19894,3290,1,0,0,0
562,1,2015-07-06,18049,3125,1,0,0,0
817,1,2015-07-06,22403,3440,1,0,0,0
1114,1,2015-07-06,23004,3483,1,0,0,0
251,7,2015-07-05,0,0,0,0,0,0
262,7,2015-07-05,30255,4762,1,0,0,0
562,7,2015-07-05,19876,3158,1,0,0,0
817,7,2015-07-05,0,0,0,0,0,0
1114,7,2015-07-05,0,0,0,0,0,0
251,6,2015-07-04,13710,1831,1,0,0,0
262,6,2015-07-04,17090,3343,1,0,0,0
562,6,2015-07-04,12272,2602,1,0,0,0
817,6,2015-07-04,13001,2284,1,0,0,0
1114,6,2015-07-04,18529,3303,1,0,0,0
251,5,2015-07-03,18347,2229,1,1,0,1
262,5,2015-07-03,23253,4051,1,1,0,0
562,5,2015-07-03,19083,3404,1,1,0,0
817,5,2015-07-03,22937,3359,1,1,0,0
1114,5,2015-07-03,23750,3675,1,1,0,0
251,4,2015-07-02,20108,2541,1,1,0,1
262,4,2015-07-02,21564,3632,1,1,0,0
562,4,2015-07-02,19316,3493,1,1,0,0
817,4,2015-07-02,24384,3552,1,1,0,0
1114,4,2015-07-02,24898,3784,1,1,0,0
251,3,2015-07-01,22160,2674,1,1,0,1
262,3,2015-07-01,21418,3439,1,1,0,0
562,3,2015-07-01,20467,3339,1,1,0,0
817,3,2015-07-01,24957,3509,1,1,0,0
1114,3,2015-07-01,27071,3788,1,1,0,0
251,2,2015-06-30,25223,2816,1,1,0,1
262,2,2015-06-30,21554,3319,1,1,0,0
562,2,2015-06-30,20916,3310,1,1,0,0
817,2,2015-06-30,27140,3555,1,1,0,0
1114,2,2015-06-30,29714,3858,1,1,0,0
251,1,2015-06-29,28664,3088,1,1,0,1
262,1,2015-06-29,20112,3219,1,1,0,0
562,1,2015-06-29,20546,3154,1,1,0,0
817,1,2015-06-29,28456,3605,1,1,0,0
1114,1,2015-06-29,28719,3724,1,1,0,0
251,7,2015-06-28,0,0,0,0,0,0
262,7,2015-06-28,28817,4450,1,0,0,0
562,7,2015-06-28,19568,3331,1,0,0,0
817,7,2015-06-28,0,0,0,0,0,0
1114,7,2015-06-28,0,0,0,0,0,0
251,6,2015-06-27,21829,2890,1,0,0,0
262,6,2015-06-27,17864,3084,1,0,0,0
562,6,2015-06-27,12273,2419,1,0,0,0
817,6,2015-06-27,13108,2041,1,0,0,0
1114,6,2015-06-27,21791,3643,1,0,0,0
